"图层",X 坐标,"Y 坐标","内容"
"停车位",2348.9327,"2553.1227","215051"
"停车位",2348.9303,"2553.1252","215052"
"停车位",2348.9284,"2553.1273","215053"
"停车位",2348.9256,"2553.1298","215054"
"停车位",2348.9232,"2553.1328","215055"
"停车位",2349.0563,"2551.9875","202001"
"停车位",2349.0588,"2551.9873","202002"
"停车位",2349.0613,"2551.9873","202003"
"停车位",2349.0638,"2551.9873","202004"
"停车位",2349.0663,"2551.9874","202005"
"停车位",2349.0688,"2551.9875","202006"
"停车位",2349.0714,"2551.9875","202007"
"停车位",2349.0739,"2551.9873","202008"
"停车位",2349.0764,"2551.9873","202009"
"停车位",2349.0789,"2551.9872","202010"
"停车位",2349.0814,"2551.9873","202011"
"停车位",2349.0839,"2551.9873","202012"
"停车位",2349.0864,"2551.9873","202013"
"停车位",2349.0889,"2551.9873","202014"
"停车位",2349.0914,"2551.9871","202015"
"停车位",2349.0939,"2551.987","202016"
"停车位",2349.0969,"2551.9873","202017"
"停车位",2349.0999,"2551.9875","202018"
"停车位",2349.1126,"2551.9905","202019"
"停车位",2349.1149,"2551.9909","202020"
"停车位",2349.1178,"2551.9909","202021"
"停车位",2349.1203,"2551.991","202022"
"停车位",2349.1228,"2551.9908","202023"
"停车位",2349.1253,"2551.9908","202024"
"停车位",2349.1277,"2551.9907","202025"
"停车位",2349.1303,"2551.9907","202026"
"停车位",2349.1328,"2551.9907","202027"
"停车位",2349.1353,"2551.9909","202028"
"停车位",2349.1378,"2551.9907","202029"
"停车位",2349.1404,"2551.9907","202030"
"停车位",2349.1429,"2551.9906","202031"
"停车位",2349.1454,"2551.9907","202032"
"停车位",2349.162,"2551.9904","202033"
"停车位",2349.1646,"2551.9904","202034"
"停车位",2349.167,"2551.9905","202035"
"停车位",2349.1696,"2551.9903","202036"
"停车位",2349.1721,"2551.9903","202037"
"停车位",2349.1745,"2551.9904","202038"
"停车位",2349.1771,"2551.9905","202039"
"停车位",2349.1796,"2551.9904","202040"
"停车位",2349.182,"2551.9903","202041"
"停车位",2349.1847,"2551.9902","202042"
"停车位",2349.1871,"2551.9901","202043"
"停车位",2349.1898,"2551.9903","202044"
"停车位",2349.1921,"2551.9902","202045"
"停车位",2349.1947,"2551.9903","202046"
"停车位",2349.1971,"2551.9901","202047"
"停车位",2349.1996,"2551.99","202048"
"停车位",2349.2022,"2551.9902","202049"
"停车位",2349.2047,"2551.99","202050"
"停车位",2349.2072,"2551.9901","202051"
"停车位",2349.2097,"2551.9899","202052"
"停车位",2349.2123,"2551.9901","202053"
"停车位",2349.2148,"2551.9901","202054"
"停车位",2349.2172,"2551.9901","202055"
"停车位",2349.2198,"2551.9901","202056"
"停车位",2349.2225,"2551.9898","202057"
"停车位",2349.225,"2551.9898","202058"
"停车位",2349.2275,"2551.99","202059"
"停车位",2349.23,"2551.9899","202060"
"停车位",2349.2326,"2551.9899","202061"
"停车位",2349.2351,"2551.9898","202062"
"停车位",2349.2375,"2551.9898","202063"
"停车位",2349.2401,"2551.9898","202064"
"停车位",2349.2426,"2551.9898","202065"
"停车位",2349.2451,"2551.9898","202066"
"停车位",2349.2477,"2551.9896","202067"
"停车位",2349.2501,"2551.9898","202068"
"停车位",2349.2526,"2551.9897","202069"
"停车位",2349.255,"2551.9895","202070"
"停车位",2349.2576,"2551.9895","202071"
"停车位",2349.2601,"2551.9895","202072"
"停车位",2349.2627,"2551.9895","202073"
"停车位",2349.2652,"2551.9896","202074"
"停车位",2349.2677,"2551.9896","202075"
"停车位",2349.2702,"2551.9898","202076"
"停车位",2349.2727,"2551.9897","202077"
"停车位",2349.2753,"2551.9897","202078"
"停车位",2349.3003,"2551.9899","202079"
"停车位",2349.3027,"2551.9898","202080"
"停车位",2349.3052,"2551.9899","202081"
"停车位",2349.3078,"2551.9896","202082"
"停车位",2349.3102,"2551.9899","202083"
"停车位",2349.3128,"2551.9898","202084"
"停车位",2349.3155,"2551.9898","202085"
"停车位",2349.3179,"2551.9897","202086"
"停车位",2349.3204,"2551.9895","202087"
"停车位",2349.323,"2551.9893","202088"
"停车位",2349.3251,"2551.9894","202089"
"停车位",2349.328,"2551.9894","202090"
"停车位",2349.3305,"2551.9895","202091"
"停车位",2349.3328,"2551.9892","202092"
"停车位",2349.3353,"2551.9893","202093"
"停车位",2349.3379,"2551.9894","202094"
"停车位",2349.3405,"2551.9894","202095"
"停车位",2349.343,"2551.9893","202096"
"停车位",2349.3458,"2551.9893","202097"
"停车位",2349.3481,"2551.9893","202098"
"停车位",2349.3506,"2551.9891","202099"
"停车位",2349.3531,"2551.9891","202100"
"停车位",2349.3557,"2551.9893","202101"
"停车位",2349.3581,"2551.9893","202102"
"停车位",2349.3608,"2551.9891","202103"
"停车位",2349.3631,"2551.9892","202104"
"停车位",2349.3654,"2552.0002","202106"
"停车位",2349.3629,"2552.0001","202107"
"停车位",2349.3603,"2552.0003","202108"
"停车位",2349.3579,"2552.0003","202109"
"停车位",2349.3552,"2552.0003","202110"
"停车位",2349.3525,"2552.0003","202111"
"停车位",2349.3503,"2552.0003","202112"
"停车位",2349.3478,"2552.0005","202113"
"停车位",2349.3453,"2552.0005","202114"
"停车位",2349.3428,"2552.0006","202115"
"停车位",2349.3404,"2552.0005","202116"
"停车位",2349.3377,"2552.0005","202117"
"停车位",2349.3353,"2552.0006","202118"
"停车位",2349.3328,"2552.0004","202119"
"停车位",2349.3303,"2552.0004","202120"
"停车位",2349.3277,"2552.0004","202121"
"停车位",2349.3253,"2552.0004","202122"
"停车位",2349.3228,"2552.0004","202123"
"停车位",2349.3202,"2552.0005","202124"
"停车位",2349.3178,"2552.0005","202125"
"停车位",2349.3153,"2552.0003","202126"
"停车位",2349.3128,"2552.0006","202127"
"停车位",2349.3102,"2552.0004","202128"
"停车位",2349.3075,"2552.0007","202129"
"停车位",2349.3052,"2552.0008","202130"
"停车位",2349.3026,"2552.0006","202131"
"停车位",2349.3002,"2552.0006","202132"
"停车位",2349.2976,"2552.0007","202133"
"停车位",2349.2952,"2552.0007","202134"
"停车位",2349.2926,"2552.0006","202135"
"停车位",2349.2901,"2552.0007","202136"
"停车位",2349.2876,"2552.0009","202137"
"停车位",2349.2849,"2552.0008","202138"
"停车位",2349.2822,"2552.0008","202139"
"停车位",2349.2801,"2552.0013","202140"
"停车位",2349.2773,"2552.0012","202141"
"停车位",2349.275,"2552.0013","202142"
"停车位",2349.2724,"2552.0008","202143"
"停车位",2349.2699,"2552.0009","202144"
"停车位",2349.2674,"2552.001","202145"
"停车位",2349.2649,"2552.0012","202146"
"停车位",2349.2624,"2552.001","202147"
"停车位",2349.2599,"2552.001","202148"
"停车位",2349.2573,"2552.0011","202149"
"停车位",2349.2549,"2552.001","202150"
"停车位",2349.2522,"2552.0012","202151"
"停车位",2349.2498,"2552.0012","202152"
"停车位",2349.2471,"2552.0015","202153"
"停车位",2349.2447,"2552.0011","202154"
"停车位",2349.2421,"2552.001","202155"
"停车位",2349.2398,"2552.001","202156"
"停车位",2349.2373,"2552.001","202157"
"停车位",2349.2345,"2552.0008","202158"
"停车位",2349.2321,"2552.001","202159"
"停车位",2349.2297,"2552.001","202160"
"停车位",2349.2273,"2552.001","202161"
"停车位",2349.2247,"2552.0009","202162"
"停车位",2349.2223,"2552.0011","202163"
"停车位",2349.2199,"2552.0009","202164"
"停车位",2349.2173,"2552.0013","202165"
"停车位",2349.2147,"2552.001","202166"
"停车位",2349.2123,"2552.001","202167"
"停车位",2349.2098,"2552.001","202168"
"停车位",2349.2047,"2552.0012","202170"
"停车位",2349.2023,"2552.0011","202171"
"停车位",2349.1996,"2552.0011","202172"
"停车位",2349.1973,"2552.0011","202173"
"停车位",2349.1947,"2552.0012","202174"
"停车位",2349.192,"2552.0013","202175"
"停车位",2349.1897,"2552.0013","202176"
"停车位",2349.1871,"2552.0013","202177"
"停车位",2349.1845,"2552.0012","202178"
"停车位",2349.1822,"2552.0012","202179"
"停车位",2349.1796,"2552.0016","202180"
"停车位",2349.177,"2552.0015","202181"
"停车位",2349.1745,"2552.0014","202182"
"停车位",2349.1721,"2552.0015","202183"
"停车位",2349.1696,"2552.0018","202184"
"停车位",2349.1671,"2552.0016","202185"
"停车位",2349.1646,"2552.0015","202186"
"停车位",2349.1621,"2552.0014","202187"
"停车位",2349.1595,"2552.0016","202188"
"停车位",2349.1572,"2552.0014","202189"
"停车位",2349.1544,"2552.0014","202190"
"停车位",2349.1519,"2552.0013","202191"
"停车位",2349.1494,"2552.0015","202192"
"停车位",2349.147,"2552.0015","202193"
"停车位",2349.1442,"2552.0013","202194"
"停车位",2349.1151,"2552.0017","202196"
"停车位",2349.1125,"2552.0022","202197"
"停车位",2349.1101,"2552.0026","202198"
"停车位",2349.1076,"2552.0032","202199"
"停车位",2349.1051,"2552.0039","202200"
"停车位",2349.1026,"2552.0044","202201"
"停车位",2349.1,"2552.0048","202202"
"停车位",2349.0949,"2552.006","202204"
"停车位",2349.0924,"2552.0062","202205"
"停车位",2349.0899,"2552.006","202206"
"停车位",2349.0874,"2552.0062","202207"
"停车位",2349.0343,"2551.98","202209"
"停车位",2349.0326,"2551.9781","202210"
"停车位",2349.0309,"2551.9763","202211"
"停车位",2349.2072,"2552.0011","202169"
"停车位",2349.0977,"2552.0054","202203"
"停车位",2349.029,"2551.9744","202212"
"停车位",2349.0275,"2551.9724","202213"
"停车位",2349.0258,"2551.9706","202214"
"停车位",2349.0214,"2552.3947","203002"
"停车位",2349.0196,"2552.3975","203003"
"停车位",2349.0177,"2552.4002","203004"
"停车位",2349.0154,"2552.4025","203005"
"停车位",2349.0133,"2552.4049","203006"
"停车位",2349.0108,"2552.4071","203007"
"停车位",2349.0083,"2552.4093","203008"
"停车位",2349.0059,"2552.4113","203009"
"停车位",2349.0032,"2552.4133","203010"
"停车位",2349.0009,"2552.4154","203011"
"停车位",2348.9983,"2552.4169","203012"
"停车位",2348.9956,"2552.4188","203013"
"停车位",2348.9931,"2552.4207","203014"
"停车位",2348.9906,"2552.4225","203015"
"停车位",2348.9879,"2552.4244","203016"
"停车位",2348.9854,"2552.4262","203017"
"停车位",2348.9828,"2552.428","203018"
"停车位",2348.98,"2552.4297","203019"
"停车位",2348.9776,"2552.4316","203020"
"停车位",2348.9751,"2552.4335","203021"
"停车位",2348.9725,"2552.4353","203022"
"停车位",2348.9701,"2552.4372","203023"
"停车位",2348.9677,"2552.4388","203024"
"停车位",2348.965,"2552.4409","203025"
"停车位",2348.9623,"2552.4426","203026"
"停车位",2348.96,"2552.4446","203027"
"停车位",2348.9574,"2552.4463","203028"
"停车位",2348.9549,"2552.4485","203029"
"停车位",2348.9524,"2552.4503","203030"
"停车位",2348.9499,"2552.4523","203031"
"停车位",2348.9475,"2552.4541","203032"
"停车位",2348.9431,"2552.4566","203033"
"停车位",2348.9406,"2552.4585","203034"
"停车位",2348.9366,"2552.4595","203035"
"停车位",2348.9346,"2552.4612","203036"
"停车位",2348.9324,"2552.4626","203037"
"停车位",2348.9305,"2552.4641","203038"
"停车位",2348.9285,"2552.4657","203039"
"停车位",2348.9265,"2552.4673","203040"
"停车位",2348.9246,"2552.4688","203041"
"停车位",2348.9219,"2552.4719","203042"
"停车位",2348.9197,"2552.4742","203043"
"停车位",2348.9174,"2552.4765","203044"
"停车位",2348.9162,"2552.4799","203045"
"停车位",2348.9141,"2552.4823","203046"
"停车位",2348.9119,"2552.4846","203047"
"停车位",2348.9094,"2552.4868","203048"
"停车位",2348.9072,"2552.4895","203049"
"停车位",2348.9052,"2552.4919","203050"
"停车位",2348.9035,"2552.4949","203051"
"停车位",2348.9011,"2552.4968","203052"
"停车位",2348.8994,"2552.4997","203053"
"停车位",2348.8974,"2552.502","203054"
"停车位",2348.8952,"2552.5048","203055"
"停车位",2348.893,"2552.5072","203056"
"停车位",2348.8909,"2552.5102","203057"
"停车位",2348.8888,"2552.5128","203058"
"停车位",2348.8864,"2552.5147","203059"
"停车位",2348.8842,"2552.5171","203060"
"停车位",2348.8821,"2552.5195","203061"
"停车位",2348.8799,"2552.5219","203062"
"停车位",2348.8782,"2552.5244","203063"
"停车位",2348.8759,"2552.5267","203064"
"停车位",2348.8741,"2552.5292","203065"
"停车位",2348.8721,"2552.5319","203066"
"停车位",2348.8704,"2552.5344","203067"
"停车位",2348.8687,"2552.537","203068"
"停车位",2348.8668,"2552.5395","203069"
"停车位",2348.8647,"2552.5425","203070"
"停车位",2348.8632,"2552.5452","203071"
"停车位",2348.8615,"2552.5478","203072"
"停车位",2348.8599,"2552.5504","203073"
"停车位",2348.858,"2552.5533","203074"
"停车位",2348.8562,"2552.5566","203075"
"停车位",2348.8555,"2552.5598","203076"
"停车位",2348.8541,"2552.5624","203077"
"停车位",2348.8529,"2552.5654","203078"
"停车位",2348.8519,"2552.5683","203079"
"停车位",2348.8507,"2552.5712","203080"
"停车位",2348.8495,"2552.5741","203081"
"停车位",2348.8485,"2552.577","203082"
"停车位",2348.8473,"2552.5798","203083"
"停车位",2348.8461,"2552.5828","203084"
"停车位",2348.8452,"2552.5857","203085"
"停车位",2348.8439,"2552.5887","203086"
"停车位",2348.8427,"2552.5914","203087"
"停车位",2348.8414,"2552.5946","203088"
"停车位",2348.7242,"2552.7449","203121"
"停车位",2348.7188,"2552.7482","203122"
"停车位",2348.7136,"2552.7514","203123"
"停车位",2348.7087,"2552.7551","203124"
"停车位",2348.704,"2552.7591","203125"
"停车位",2348.6998,"2552.7633","203126"
"停车位",2348.696,"2552.7684","203127"
"停车位",2348.6884,"2552.7828","203128"
"停车位",2348.6867,"2552.789","203129"
"停车位",2348.6854,"2552.7953","203130"
"停车位",2348.6848,"2552.8014","203131"
"停车位",2348.6842,"2552.8076","203132"
"停车位",2348.6837,"2552.8135","203133"
"停车位",2348.6831,"2552.8197","203134"
"停车位",2348.6824,"2552.8257","203135"
"停车位",2348.6821,"2552.832","203136"
"停车位",2348.6823,"2552.838","203137"
"停车位",2348.6835,"2552.8445","203138"
"停车位",2348.6853,"2552.8502","203139"
"停车位",2348.6881,"2552.8557","203140"
"停车位",2348.6918,"2552.8606","203141"
"停车位",2348.6957,"2552.8651","203142"
"停车位",2348.701,"2552.8691","203143"
"停车位",2348.7065,"2552.8721","203144"
"停车位",2348.7122,"2552.8743","203145"
"停车位",2348.7181,"2552.8757","203146"
"停车位",2348.7241,"2552.8761","203147"
"停车位",2348.7307,"2552.8755","203148"
"停车位",2348.7363,"2552.8741","203149"
"停车位",2348.7475,"2552.8687","203150"
"停车位",2348.7528,"2552.8652","203151"
"停车位",2348.7578,"2552.8617","203152"
"停车位",2348.763,"2552.8582","203153"
"停车位",2348.7679,"2552.8549","203154"
"停车位",2348.7825,"2552.845","203154"
"停车位",2348.7876,"2552.8416","203156"
"停车位",2348.7929,"2552.8379","203157"
"停车位",2348.7981,"2552.8346","203158"
"停车位",2348.8035,"2552.8315","203159"
"停车位",2348.8092,"2552.8291","203160"
"停车位",2348.8154,"2552.8273","203161"
"停车位",2348.8212,"2552.8264","203162"
"停车位",2348.834,"2552.8262","203164"
"停车位",2348.8404,"2552.8271","203165"
"停车位",2348.8466,"2552.8286","203166"
"停车位",2348.8527,"2552.8311","203167"
"停车位",2348.8581,"2552.834","203168"
"停车位",2348.8629,"2552.837","203169"
"停车位",2348.8277,"2552.8259","203163"
"停车位",2348.365,"2551.9577","204001"
"停车位",2348.3587,"2551.9572","204002"
"停车位",2348.3528,"2551.9568","204003"
"停车位",2348.3467,"2551.9563","204004"
"停车位",2348.3406,"2551.9559","204005"
"停车位",2348.3346,"2551.9555","204006"
"停车位",2348.3283,"2551.955","204007"
"停车位",2348.3225,"2551.9546","204008"
"停车位",2348.3162,"2551.9542","204009"
"停车位",2348.3102,"2551.9538","204010"
"停车位",2348.3039,"2551.9533","204011"
"停车位",2348.2978,"2551.9529","204012"
"停车位",2348.2919,"2551.9525","204013"
"停车位",2348.2855,"2551.952","204014"
"停车位",2348.2793,"2551.9515","204015"
"停车位",2348.2734,"2551.951","204016"
"停车位",2348.2415,"2551.9488","204017"
"停车位",2348.2352,"2551.9483","204018"
"停车位",2348.2292,"2551.9479","204019"
"停车位",2348.2228,"2551.9474","204020"
"停车位",2348.2168,"2551.9469","204021"
"停车位",2348.2103,"2551.9467","204022"
"停车位",2348.2039,"2551.9471","204023"
"停车位",2348.1979,"2551.9477","204024"
"停车位",2348.1919,"2551.9483","204025"
"停车位",2348.1855,"2551.9486","204026"
"停车位",2348.1542,"2551.9244","204027"
"停车位",2348.1608,"2551.925","204028"
"停车位",2348.1668,"2551.9255","204029"
"停车位",2348.1729,"2551.9259","204030"
"停车位",2348.1791,"2551.9263","204031"
"停车位",2348.1853,"2551.9268","204032"
"停车位",2348.1913,"2551.9273","204033"
"停车位",2348.1975,"2551.9277","204034"
"停车位",2348.2037,"2551.9281","204035"
"停车位",2348.2096,"2551.9286","204036"
"停车位",2348.2796,"2551.9378","204037"
"停车位",2348.2856,"2551.9382","204038"
"停车位",2348.292,"2551.9388","204039"
"停车位",2348.2979,"2551.9393","204040"
"停车位",2348.3042,"2551.9397","204041"
"停车位",2348.3102,"2551.9401","204042"
"停车位",2348.3165,"2551.9404","204043"
"停车位",2348.3226,"2551.9409","204044"
"停车位",2348.3288,"2551.9413","204045"
"停车位",2348.335,"2551.9417","204046"
"停车位",2348.3411,"2551.9421","204047"
"停车位",2348.3471,"2551.9426","204048"
"停车位",2348.3534,"2551.9431","204049"
"停车位",2348.3592,"2551.9434","204050"
"停车位",2348.3656,"2551.9439","204051"
"停车位",2349.028,"2552.9826","205002"
"停车位",2349.0243,"2552.9794","205003"
"停车位",2349.0224,"2552.9779","205004"
"停车位",2349.0186,"2552.9748","205005"
"停车位",2349.0169,"2552.9731","205006"
"停车位",2349.0127,"2552.9695","205007"
"停车位",2349.0108,"2552.9678","205008"
"停车位",2348.9974,"2552.9569","205013"
"停车位",2348.9954,"2552.9554","205014"
"停车位",2348.9918,"2552.9523","205015"
"停车位",2348.9899,"2552.9508","205016"
"停车位",2348.9868,"2552.9484","205017"
"停车位",2348.9803,"2552.9448","205019"
"停车位",2348.9781,"2552.9436","205020"
"停车位",2348.9737,"2552.9413","205021"
"停车位",2348.9692,"2552.9386","205022"
"停车位",2348.9584,"2552.9325","205024"
"停车位",2348.9483,"2552.924","205027"
"停车位",2348.9422,"2552.9193","205029"
"停车位",2348.9403,"2552.9178","205030"
"停车位",2348.9352,"2552.9133","205031"
"停车位",2348.933,"2552.9118","205032"
"停车位",2348.8958,"2552.9182","205038"
"停车位",2348.8973,"2552.916","205039"
"停车位",2348.8988,"2552.914","205040"
"停车位",2348.9007,"2552.9105","205041"
"停车位",2348.9033,"2552.9105","205042"
"停车位",2348.9058,"2552.9106","205043"
"停车位",2348.9084,"2552.9102","205044"
"停车位",2348.9177,"2552.9064","205045"
"停车位",2348.9551,"2552.89","205054"
"停车位",2348.9573,"2552.8916","205055"
"停车位",2348.9599,"2552.8939","205056"
"停车位",2348.9618,"2552.8955","205057"
"停车位",2348.9646,"2552.8978","205058"
"停车位",2348.9665,"2552.8994","205059"
"停车位",2348.9717,"2552.9033","205061"
"停车位",2348.9767,"2552.9075","205063"
"停车位",2348.9802,"2552.9103","205064"
"停车位",2348.9854,"2552.9148","205066"
"停车位",2348.9875,"2552.9165","205067"
"停车位",2348.999,"2552.9306","205072"
"停车位",2349.0009,"2552.9322","205073"
"停车位",2349.0042,"2552.9351","205074"
"停车位",2349.0063,"2552.9365","205075"
"停车位",2349.0097,"2552.9394","205076"
"停车位",2349.0117,"2552.9408","205077"
"停车位",2349.0171,"2552.9453","205079"
"停车位",2349.0206,"2552.9482","205080"
"停车位",2349.0226,"2552.9498","205081"
"停车位",2349.0259,"2552.9527","205082"
"停车位",2349.0279,"2552.9541","205083"
"停车位",2349.041,"2552.9663","205086"
"停车位",2349.0445,"2552.969","205087"
"停车位",2349.0464,"2552.9706","205088"
"停车位",2349.0495,"2552.9737","205089"
"停车位",2349.0513,"2552.9753","205090"
"停车位",2348.5334,"2552.9646","206001"
"停车位",2348.5345,"2552.9598","206002"
"停车位",2348.5351,"2552.9573","206003"
"停车位",2348.5364,"2552.953","206004"
"停车位",2348.5373,"2552.9494","206005"
"停车位",2348.5386,"2552.9451","206006"
"停车位",2348.5392,"2552.9426","206007"
"停车位",2348.5402,"2552.9382","206008"
"停车位",2348.5417,"2552.9323","206009"
"停车位",2348.5424,"2552.9299","206010"
"停车位",2348.5434,"2552.9256","206011"
"停车位",2348.5444,"2552.9232","206012"
"停车位",2348.5451,"2552.9189","206013"
"停车位",2348.5461,"2552.9165","206014"
"停车位",2348.5469,"2552.9121","206015"
"停车位",2348.5475,"2552.9098","206016"
"停车位",2348.5489,"2552.9052","206017"
"停车位",2348.5499,"2552.9029","206018"
"停车位",2348.5515,"2552.8988","206019"
"停车位",2348.5525,"2552.8964","206020"
"停车位",2348.554,"2552.8922","206021"
"停车位",2348.555,"2552.8899","206022"
"停车位",2348.5679,"2552.8061","206024"
"停车位",2348.568,"2552.8035","206025"
"停车位",2348.5685,"2552.799","206026"
"停车位",2348.5686,"2552.7965","206027"
"停车位",2348.5688,"2552.7916","206028"
"停车位",2348.5689,"2552.7891","206029"
"停车位",2348.5694,"2552.7845","206030"
"停车位",2348.5694,"2552.7819","206031"
"停车位",2348.5701,"2552.7776","206032"
"停车位",2348.57,"2552.7751","206033"
"停车位",2348.5704,"2552.7683","206034"
"停车位",2348.5704,"2552.7659","206035"
"停车位",2348.5706,"2552.7612","206036"
"停车位",2348.5707,"2552.7588","206037"
"停车位",2348.5708,"2552.7522","206038"
"停车位",2348.571,"2552.7497","206039"
"停车位",2348.5711,"2552.7471","206040"
"停车位",2348.5711,"2552.7446","206041"
"停车位",2348.571,"2552.7421","206042"
"停车位",2348.571,"2552.7395","206043"
"停车位",2348.571,"2552.7355","206044"
"停车位",2348.5709,"2552.731","206045"
"停车位",2348.5709,"2552.7285","206046"
"停车位",2348.5693,"2552.6685","206047"
"停车位",2348.5689,"2552.6633","206048"
"停车位",2348.5688,"2552.6609","206049"
"停车位",2348.5686,"2552.6555","206050"
"停车位",2348.5685,"2552.653","206051"
"停车位",2348.5684,"2552.6478","206052"
"停车位",2348.5682,"2552.6452","206053"
"停车位",2348.5679,"2552.64","206054"
"停车位",2348.5677,"2552.6374","206055"
"停车位",2348.5676,"2552.6322","206056"
"停车位",2348.5676,"2552.6297","206057"
"停车位",2348.5675,"2552.6244","206058"
"停车位",2348.5674,"2552.6219","206059"
"停车位",2348.5641,"2552.5304","206064"
"停车位",2348.564,"2552.5279","206065"
"停车位",2348.5638,"2552.5228","206066"
"停车位",2348.5637,"2552.5204","206067"
"停车位",2348.5634,"2552.5076","206070"
"停车位",2348.5632,"2552.5051","206071"
"停车位",2348.5631,"2552.4999","206072"
"停车位",2348.563,"2552.4975","206073"
"停车位",2348.5629,"2552.4897","206074"
"停车位",2348.5626,"2552.4871","206075"
"停车位",2348.5624,"2552.482","206076"
"停车位",2348.562,"2552.4795","206077"
"停车位",2348.5616,"2552.4744","206078"
"停车位",2348.5613,"2552.4719","206079"
"停车位",2348.5619,"2552.4667","206080"
"停车位",2348.5617,"2552.4642","206081"
"停车位",2349.021,"2552.0524","208002"
"停车位",2349.0209,"2552.0565","208003"
"停车位",2349.021,"2552.059","208004"
"停车位",2349.0208,"2552.0632","208005"
"停车位",2349.0207,"2552.0656","208006"
"停车位",2349.0206,"2552.0698","208007"
"停车位",2349.0205,"2552.0723","208008"
"停车位",2349.0203,"2552.0765","208009"
"停车位",2349.0201,"2552.079","208010"
"停车位",2349.02,"2552.083","208011"
"停车位",2349.0199,"2552.0856","208012"
"停车位",2349.0195,"2552.0899","208013"
"停车位",2349.019,"2552.0923","208014"
"停车位",2349.018,"2552.0966","208015"
"停车位",2349.0176,"2552.0992","208016"
"停车位",2349.0135,"2552.1165","208017"
"停车位",2349.0128,"2552.1189","208018"
"停车位",2349.0119,"2552.1229","208019"
"停车位",2349.0115,"2552.1253","208020"
"停车位",2349.0108,"2552.1296","208021"
"停车位",2349.0101,"2552.1321","208022"
"停车位",2349.0092,"2552.1362","208023"
"停车位",2349.0087,"2552.1385","208024"
"停车位",2349.008,"2552.143","208025"
"停车位",2349.0073,"2552.1454","208026"
"停车位",2349.0065,"2552.15","208027"
"停车位",2349.0059,"2552.1524","208028"
"停车位",2349.0049,"2552.1565","208029"
"停车位",2349.0042,"2552.159","208030"
"停车位",2349.0034,"2552.1629","208031"
"停车位",2349.0024,"2552.1672","208032"
"停车位",2349.002,"2552.1696","208033"
"停车位",2349.0007,"2552.1736","208034"
"停车位",2348.9997,"2552.1761","208035"
"停车位",2348.9987,"2552.1799","208036"
"停车位",2348.9978,"2552.1822","208037"
"停车位",2348.9965,"2552.186","208038"
"停车位",2348.9956,"2552.1883","208039"
"停车位",2348.9945,"2552.1923","208040"
"停车位",2348.9937,"2552.1947","208041"
"停车位",2348.9922,"2552.1985","208042"
"停车位",2348.9912,"2552.2009","208043"
"停车位",2348.9862,"2552.2131","208044"
"停车位",2348.9843,"2552.2169","208045"
"停车位",2348.9833,"2552.2191","208046"
"停车位",2348.9875,"2552.2105","208044-1"
"停车位",2348.9813,"2552.2227","208047"
"停车位",2348.9803,"2552.2248","208048"
"停车位",2348.9789,"2552.2271","208049"
"停车位",2348.9777,"2552.2294","208050"
"停车位",2348.9754,"2552.2333","208051"
"停车位",2348.974,"2552.2356","208052"
"停车位",2348.9512,"2552.2658","208053"
"停车位",2348.9482,"2552.2691","208054"
"停车位",2348.9465,"2552.271","208055"
